,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
2317,100.0,33.0,2,6,Entire home/apt,2,1.0,3,210.0,2,14,5,0
2318,80.0,90.0,2,4,Entire home/apt,1,1.0,1,119.0,3,1125,1,0
2319,82.0,64.2,1,2,Entire home/apt,0,1.0,1,95.0,1,1125,2,0
2320,100.0,100.0,1,2,Entire home/apt,1,1.0,1,120.0,2,60,108,0
2321,100.0,100.0,1,2,Entire home/apt,1,1.0,1,90.0,2,1125,18,0
2322,80.2,79.2,1,2,Entire home/apt,1,1.0,1,115.0,2,1125,4,0
2323,100.0,100.0,1,2,Private room,1,1.0,1,160.0,2,7,12,0
2324,100.0,100.0,1,2,Shared room,1,1.0,1,25.0,1,1125,1,0
2325,90.0,58.0,1,2,Shared room,1,1.0,1,70.0,3,1125,57,0
2326,92.0,82.0,1,3,Entire home/apt,0,1.0,1,175.0,1,1125,5,0
2327,100.0,100.0,2,2,Entire home/apt,1,1.0,1,101.0,1,1125,0,0
2328,100.0,29.0,3,2,Shared room,1,1.0,1,85.0,1,1125,0,0
2329,100.0,100.0,1,3,Entire home/apt,1,1.0,1,170.0,3,14,49,0
2330,100.0,77.0,4,4,Entire home/apt,1,1.0,2,159.0,1,1125,0,0
2331,70.0,100.0,1,3,Entire home/apt,2,1.0,2,200.0,1,1125,6,0
2332,100.0,100.0,1,2,Entire home/apt,1,1.0,1,139.0,2,90,0,0
2333,100.0,88.0,1,3,Entire home/apt,1,1.0,1,275.0,1,1125,11,0
2334,90.0,67.0,4,1,Private room,1,1.0,1,159.0,1,1125,1,0
2335,75.0,100.0,1,2,Entire home/apt,1,1.0,1,97.0,3,1125,2,0
2336,83.0,100.0,1,4,Entire home/apt,1,1.0,2,110.0,1,1125,1,0
2337,100.0,86.0,2,3,Entire home/apt,2,2.0,3,169.0,3,1125,34,0
2338,100.0,100.0,1,2,Private room,1,1.5,1,100.0,1,1125,3,0
2339,100.0,100.0,2,1,Private room,1,1.0,1,99.0,3,1125,22,0
